ordem,menorTempoArv,maiorTempoArv,tempoMedioArv,tempoTotalArv,menorTempoArq,maiorTempoArq,tempoMedioArq,tempoTotalArq
3,2,7,5.5,165,9170,21253,12385.299805,371559
4,2,3,2.266667,68,9170,18550,13448.533203,403456
5,2,3,2.533333,76,9170,18905,12656.833008,379705
6,1,4,2.166667,65,11013,18950,12871.533203,386146
7,1,3,2,60,5994,23317,11422.533203,342676
8,1,2,1.8,54,11068,15093,12263.566406,367907
9,1,2,1.766667,53,9400,15676,10974.799805,329244
10,1,3,1.9,57,11133,18614,12764.033203,382921
11,1,2,1.766667,53,7804,15234,11143.133789,334294
12,1,3,1.833333,55,10941,25484,13427.466797,402824
13,1,2,1.766667,53,11106,16369,13339.299805,400179
14,1,3,1.633333,49,9374,15932,11333.133789,339994
15,1,22,2.333333,70,1033,14475,10346.633789,310399